Status,Laptop,Brand,Model,CPU,GPU,RAM,Storage,Storage type,Screen,Touch,CPU Score,GPU Score
New,ASUS ExpertBook B1 B1502CBA-EJ0436X,Asus,ExpertBook,Intel Core i5-1235U,Intel Iris Xe,8,512,SSD,15.6,0,12993,4
New,Alurin Go Start,Alurin,Go,Intel Celeron N4020,Intel UHD Graphics 600,8,256,SSD,15.6,0,1546,4
New,ASUS ExpertBook B1 B1502CBA-EJ0424X,Asus,ExpertBook,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,15.6,0,10548,4
New,MSI Katana GF66 12UC-082XES,MSI,Katana,Intel Core i7-12700H,RTX 3050,16,1000,SSD,15.6,0,25766,9466
New,HP 15S-FQ5085NS,HP,15S,Intel Core i5-1235U,Intel Iris Xe,16,512,SSD,15.6,0,12993,4
New,MSI Crosshair 17 C12VF-264XES,MSI,Crosshair,Intel Core i7-12650H,RTX 4060,32,1000,SSD,17.3,0,22065,19703
New,Lenovo Thinkpad E14 Gen 4,Lenovo,ThinkPad,AMD Ryzen 5 5625U,Integrated,8,256,SSD,14.0,0,14837,4
New,ASUS VivoBook 15 F515JA-EJ2882W,Asus,VivoBook,Intel Core i7-1065G7,Integrated,8,512,SSD,15.6,0,8205,4
New,Medion Akoya E15415,Medion,Akoya,Intel Core i5-10210U,Integrated,8,256,SSD,15.6,0,6136,4
New,HP Victus 16-d1038ns,HP,Victus,Intel Core i7-12700H,RTX 3050,16,512,SSD,16.1,0,25766,9466
New,Lenovo V15 IGL,Lenovo,V15,Intel Celeron N4020,Intel UHD Graphics 600,8,256,SSD,15.6,0,1546,4
New,MSI Thin GF63 12VE-021XES,MSI,Thin,Intel Core i7-12650H,RTX 4050,16,1000,SSD,15.6,0,22065,14435
New,ASUS ROG Strix G15 G513RC-HN088,Asus,ROG,AMD Ryzen 7 6800H,RTX 3050,16,512,SSD,15.6,0,23136,9466
New,Lenovo V15 G3 ABA,Lenovo,V15,AMD Ryzen 5 5625U,Integrated,16,512,SSD,15.6,0,14837,4
New,Lenovo IdeaPad 1 15ADA7,Lenovo,IdeaPad,AMD Ryzen 3 3250U,Integrated,8,256,SSD,15.6,0,3748,4
New,HP 15S-FQ5013NS,HP,15S,Intel Core i5-1235U,Intel Iris Xe,8,512,SSD,15.6,0,12993,4
New,Lenovo IdeaPad 3 15IAU7,Lenovo,IdeaPad,Intel Core i5-1235U,Intel Iris Xe,16,512,SSD,15.6,0,12993,4
New,HP 15S-FQ2163NS,HP,15S,Intel Core i3-1115G4,Intel UHD Graphics,8,512,SSD,15.6,0,5934,4
New,ASUS VivoBook 15 F515JA-EJ4134,Asus,VivoBook,Intel Core i7-1065G7,Integrated,8,512,SSD,15.6,0,8205,4
New,MSI GF63 Thin 11UC-446XES,MSI,Thin,Intel Core i7-11800H,RTX 3050,16,512,SSD,15.6,0,20086,9466
New,MSI Cyborg 15 A12VF-098XES,MSI,Cyborg,Intel Core i5-12450H,RTX 4060,16,1000,SSD,15.6,0,16401,19703
New,ASUS M515UA-EJ486W,Asus,M515UA,AMD Ryzen 7 5700U,Radeon Vega 8,16,512,SSD,15.6,0,15676,4
New,Lenovo IdeaPad 3 15ALC6,Lenovo,IdeaPad,AMD Ryzen 7 5700U,Radeon Vega 8,16,512,SSD,15.6,0,15676,4
New,ASUS TUF Gaming F15 FX506HC-HN004,Asus,TUF,Intel Core i5-11400H,RTX 3050,16,512,SSD,15.6,0,15398,9466
New,Acer Aspire 3 A315-59-37GX,Acer,Aspire,Intel Core i3-1215U,Intel UHD Graphics,8,256,SSD,15.6,0,10548,4
New,ASUS TUF Gaming F15 FX507ZC4-HN002,Asus,TUF,Intel Core i7-12700H,RTX 3050,16,512,SSD,15.6,0,25766,9466
New,Alurin Go Start,Alurin,Go,Intel Celeron N4020,Intel UHD Graphics 600,8,256,SSD,14.0,0,1546,4
New,HP Victus 15-fa0012ns,HP,Victus,Intel Core i5-12500H,RTX 3050,16,512,SSD,15.6,0,20660,9466
New,HP Pavilion 15-eh1004ns,HP,Pavilion,AMD Ryzen 5 5500U,Ryzen 5 5500U with Radeon Graphics,16,512,SSD,15.6,0,12868,4
New,Lenovo IdeaPad 3 15ITL6,Lenovo,IdeaPad,Intel Core i5-1155G7,Intel Iris Xe,8,512,SSD,15.6,0,9814,4
New,HP 15S-FQ5028NS,HP,15S,Intel Core i5-1235U,Intel Iris Xe,16,512,SSD,15.6,0,12993,4
New,MSI Katana 15 B12VFK-095XES,MSI,Katana,Intel Core i7-12650H,RTX 4060,16,512,SSD,15.6,0,22065,19703
New,ASUS VivoBook F1500EA-EJ2384W,Asus,VivoBook,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
New,HP 15S-fq2159ns,HP,15S,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934,4
