Game,CPU,GPU,RAM,File Size
inZOI,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,12 GB,60 GB
Assassin's Creed Shadows,Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,100 GB
Grand Theft Auto V,Intel Core i7-4770  / FX-9590,NVIDIA GeForce GTX 1630  / Radeon RX 6400,8 GB,105 GB
Schedule I,Intel Core i5-1300F,AMD Radeon RX 580  / GeForce GTX 1060,8 GB,8 GB
R.E.P.O.,Intel Core i5-6600,NVIDIA GeForce GTX 970,8 GB,1 GB
CS2,Intel Core i5-750,NVIDIA GeForce 610M,8 GB,85 GB
Monster Hunter Wilds,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce GTX 1660  / Radeon RX 5500 XT,16 GB,75 GB
Marvel Rivals,Intel Core i5-6600K  / Ryzen 5 1600X,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,70 GB
Valorant,Intel Core 2 Duo E8400  / Athlon 200GE,Intel HD 4000  / Radeon R5 230,4 GB,30 GB
Cyberpunk 2077,Intel Core i7-6700  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,12 GB,70 GB
Split Fiction,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,12 GB,40 GB
GTA 6,Intel Core i5-6600K,NVIDIA GeForce GTX 1660,12 GB,150 GB
Elden Ring,Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 1060 3GB  / Radeon RX 580,12 GB,60 GB
Red Dead Redemption 2,AMD FX-6300,AMD Radeon R9 280,8 GB,150 GB
Fortnite,Intel Core i3-3225,Intel HD 4000  / Radeon HD 7870,8 GB,15 GB
Minecraft,Intel Celeron J4105  / FX-4100,Intel HD 4000  / Radeon R5 220,4 GB,1 GB
