Game,CPU,GPU,RAM,File Size
inZOI,Intel Core i7-12700  / Ryzen 7 5800X3D,NVIDIA GeForce RTX 3070 Ti  / Radeon RX 6800 XT,16 GB,75 GB
Assassin's Creed Shadows,Intel Core i5-11600K  / Ryzen 5 5600X,NVIDIA GeForce RTX 3060 Ti  / Radeon RX 6700 XT,16 GB,100 GB
Grand Theft Auto V,Intel Core i5-9600K  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 6600 XT,16 GB,105 GB
Schedule I,Intel Core i5-1300F,AMD Radeon RX 6700  / GeForce RTX 3060,16 GB,8 GB
R.E.P.O.,Intel Core i7-8700,NVIDIA GeForce GTX 1070,8 GB,1 GB
CS2,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,85 GB
Monster Hunter Wilds,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 6600,16 GB,75 GB
Marvel Rivals,Intel Core i5-10400  / Ryzen 5 5600X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700 XT,16 GB,70 GB
Valorant,Intel Core i3-4150  / Ryzen 3 1200,NVIDIA GeForce GT 730  / Radeon R7 240,4 GB,30 GB
Cyberpunk 2077,Intel Core i7-12700K  / Ryzen 7 7800X3D,NVIDIA GeForce RTX 2060  / Radeon RX 5700 XT,16 GB,70 GB
Split Fiction,Intel Core i7-12700K  / Ryzen 7 7800X3D,NVIDIA GeForce RTX 3070  / Radeon RX 6800 XT,16 GB,60 GB
GTA 6,Intel Core i7-10700,NVIDIA GeForce RTX 3060,16 GB,150 GB
Elden Ring,Intel Core i7-8700K  / Ryzen 5 3600X,NVIDIA GeForce GTX 1070  / Radeon RX Vega 56,16 GB,60 GB
Red Dead Redemption 2,Intel Core i7-4770K,NVIDIA GeForce GTX 1060,12 GB,150 GB
Fortnite,Intel Core i5-7300U  / Ryzen 3 3300U,NVIDIA GeForce GTX 960  / Radeon R9 280,16 GB,26 GB
Minecraft,Intel Core i7-6500U  / A8-6600K,NVIDIA GeForce 940M  / Radeon HD 8570D,8 GB,2 GB
FragPunk,Intel Core i7-10700K  / Ryzen 5 5600X,NVIDIA GeForce RTX 3060  / Radeon RX 5700 XT,16 GB,40 GB
Baldur's Gate 3,Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700 XT,16 GB,150 GB
The Last of Us Part 2 Remastered,Intel Core i5-8600  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 5700,16 GB,150 GB
EA SPORTS FC 25,Intel Core i7-6700  / Ryzen 7 2700X,NVIDIA GeForce GTX 1660  / Radeon RX 5600 XT,12 GB,100 GB
Kingdom Come: Deliverance II,Intel Core i5-12600K  / Ryzen 7 5800X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 5700,32 GB,100 GB
Marvel's Spider-Man 2,Intel Core i5-8400  / Ryzen 5 3600,NVIDIA GeForce RTX 3060  / Radeon RX 5700,16 GB,140 GB
HELLDIVERS 2,Intel Core i7-9700K  / Ryzen 7 3700X,AMD Radeon RX 6600 XT  / GeForce RTX 2060,16 GB,100 GB
PUBG: Battlegrounds,Intel Core i5-6600K,NVIDIA GeForce GTX 1060 3GB,16 GB,50 GB
Hogwarts Legacy,Intel Core i7-6700,NVIDIA GeForce RTX 2060,16 GB,85 GB
Ghost of Tsushima DIRECTORS CUT,Intel Core i5-8600  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,16 GB,75 GB
Forza Horizon 5,AMD Ryzen 5 1500X,NVIDIA GeForce GTX 1070,16 GB,110 GB
